location_id,city,state,country,address,zip_code,latitude,longitude
84,Montreal,,CA,711 Côte de la Place d'Armes,,45.50541,-73.55761
85,Montreal,,CA,1112 Boulevard de Maisonneuve E,,45.518377,-73.558126
86,Montreal,,CA,320 Rue Saint-Paul O,,45.50127,-73.55608
87,Montreal,,CA,1230 Boulevard de Maisonneuve O,,45.499511,-73.576242
88,Montreal,,CA,4631 Boulevard Saint-Laurent,,45.5212392,-73.5883014
89,Montreal,,CA,1391 Rue Saint-Jacques,,45.49303,-73.568495
90,Montreal,,CA,298 Place d'Youville,,45.50141,-73.55475
91,Montreal,,CA,200 Rue Saint-Paul Ouest,,45.50260615676877,-73.55518407260888
92,Montreal,,CA,3424 Avenue du Parc,,45.50845,-73.5721
93,Montreal,,CA,1909 Rue Saint-Catherine O,,45.492696,-73.580787
94,Montreal,,CA,6631 Boulevard Saint-Laurent,,45.5313378,-73.610497
95,Montreal,,CA,2049 Rue Peel,,45.501393,-73.575449
96,Montreal,,CA,1216 Rue Bishop,,45.49575,-73.5753
97,Montreal,,CA,1668 Rue Saint-Denis,,45.515,-73.56375
98,Montreal,,CA,275 Rue Notre-Dame O,,45.502845,-73.558353
99,Montreal,,CA,5375 Avenue du Parc,,45.52183,-73.60072
100,Montreal,,CA,4418 Rue Saint-Denis,,45.52324,-73.5819
101,Montreal,,CA,1030 Rue Cherrier,,45.52153,-73.56647
102,Montreal,,CA,74 Avenue du Mont-Royal E,,45.5208508,-73.58559293743438
103,Montreal,,CA,1241 Avenue du Mont-Royal E,,45.529291,-73.578237
104,Montreal,,CA,156 Avenue Laurier O,,45.521119,-73.594311
105,Montreal,,CA,115 Rue Rachel E,,45.519261587336665,-73.58070295798589
106,Montreal,,CA,407 Place Jacques-Cartier,,45.5079539,-73.55262223588781
107,Montreal,,CA,4542 Saint Denis Street,,45.5241886,-73.58375260000001
108,Montreal,,CA,4520 Avenue du Parc,,45.51688,-73.590151
109,Montreal,,CA,2519 Rue Notre-Dame Ouest,,45.48277,-73.5754852
110,Montreal,,CA,1050B Rue Clark,,45.5076456,-73.560384
111,Montreal,,CA,3609 Rue Saint-Denis,,45.51811,-73.56943
112,Montreal,,CA,3481 Boulevard Saint-Laurent,,45.51323,-73.57058
113,Montreal,,CA,351 Rue Saint-Paul O,,45.501197,-73.5564745926598
